author,categoryId,content,date,description,id,image,title
أحمد خالد,horror,"كانت الليلة باردة جداً عندما قرر سمير تحدي رفاقه بالبقاء ليلة كاملة في القصر المهجور على تلة الضباب. يقال أن القصر كان ينتمي لعالم كيميائي مجنون اختفى في ظروف غامضة منذ مائة عام...

عندما دخل سمير، صرخت مفاصل الباب الصدئ، وشعر ببرودة غريبة تلامس عنقه. لم يكن يعلم أن جدران هذا المكان لا تنسى أبداً من يطأ أرضها.",2024-01-15,قصة مرعبة عن قصر قديم تختبئ وراء جدرانه أسرار مخيفة.,1,https://picsum.photos/400/300?random=1,ليلة في القصر المسكون
سارة سعيد,love,كانت ليلى تراقب السماء كل يوم من خلال تلسكوبها الصغير، لم تكن تبحث عن نجوم فقط، بل كانت تبحث عن إشارة. منذ ذلك اليوم الذي رأت فيه الوميض الأزرق، لم يعد شيء كما كان.,2024-02-10,حكاية غرامية تجمع بين شخصين من عالمين مختلفين تماماً كالمسافة بين الأرض والمريخ.,2,https://picsum.photos/400/300?random=2,حب خلف النجوم
ياسين عمر,sci-fi,استيقظ القائد زين على صوت إنذار السفينة 'أمل-1'. كانت شاشات الرادار ترقص بجنون، فقد اقتربوا من الثقب الدودي الذي لم يجرؤ أحد على دخوله من قبل.,2024-03-01,رحلة استكشافية لفريق من العلماء يكتشفون حضارة قديمة تحت رمال كوكب أحمر.,3,https://picsum.photos/400/300?random=3,مهمة إلى المجرة المنسية
ياسين عمر,horror,"من وأنا صغير، كان عندي نفس الكابوس.

مش كابوس بييجي ويختفي… لأ، كان إحساس.
إحساس إن في حاجة تحت السرير.

أمي كانت دايمًا تقولّي: ""مفيش حاجة يا حبيبي… ده مجرد خوف.""

لكن المشكلة إن الإحساس ده عمره ما راح.

كبرت… ودخلت الجامعة… واشتغلت… لكن كل ما أنام، لازم أبعد رجلي عن طرف السرير.

ليه؟

علشان لو في حاجة تحت… متوصلش لي.

كنت بضحك على نفسي أوقات.
راجل كبير وخايف من تحت السرير.

لكن اللي حصل الليلة دي… خلاني أتمنى إني ما كنتش ضحكت.

الساعة كانت 2:47 الفجر.

صحيت فجأة.

مش بسبب صوت… ولا حلم.

صحيت علشان… في حد كان بيبصلي.

مشفتوش… بس كنت حاسس.

قعدت في السرير، وبصيت حواليّ.

الأوضة ضلمة… هادية… كل حاجة طبيعية.

إلا إحساس واحد.

إن في حاجة… تحت.

نزلت رجلي ببطء.

وقبل ما تلمس الأرض…

سمعت نفس.

نفس تقيل… بطيء.

جاي من تحت السرير.

جسمي كله اتجمد.

""مفيش حاجة… مفيش حاجة…""

كنت بكررها لنفسي.

لكن الصوت رجع.

المرة دي أوضح.

زي حد مستني.

قمت بسرعة وولعت النور.

بصيت تحت السرير.

مفيش حاجة.

فضي.

ضحكت.

ضحكة متوترة.

""أنا بتخيل.""

رجعت نمت.

قفلت النور.

ثواني…

وسمعت صوت.

""ليه بصيت؟""

فتحت عيني.

القلب بيدق بعنف.

""مين؟!""

مفيش رد.

لكن الصوت كان واضح.

جاي من تحت السرير.

المرة دي… مقدرتش أتحمل.

نزلت على الأرض بسرعة… وبصيت.

وفي اللحظة دي…

شوفتها.

عينين.

بتلمع في الضلمة.

ثابتة.

بتبصلي.

رجعت ورا بسرعة وخبطت في الحيطة.

""إنت… إيه؟!""

العينين اختفوا.

لكن الصوت رد.

""أنا… اللي مستنيك من زمان.""

الأوضة بردت فجأة.

الهوا تقيل.

حاسس إني مش لوحدي.

وقبل ما أتحرك…

السرير اتحرك.

لوحده.

بطريقة بطيئة… مرعبة.

وبعدين…

إيد طلعت.

طويلة.

رفيعة.

مش طبيعية.

ومسكت رجلي.

صرخت.

حاولت أهرب.

لكن القبضة كانت أقوى.

اتسحبت.

نزلت تحت السرير.

والضلمة كانت… مش طبيعية.

مش مجرد ضلمة.

مكان.

واسع.

أوسع من الأوضة نفسها.

والعينين… كانوا حواليّ.

مش واحدة.

كتير.

""إحنا كنا مستنيينك.""

آخر حاجة سمعتها…

كانت ضحك.

ومن ساعتها…

كل ليلة…

لو حطيت رجلك على الأرض…

ممكن تكون…

الدور عليك.",2024-03-01,منذ طفولته وهو يشعر أن هناك شيئًا يراقبه من تحت سريره، لكن عندما قرر المواجهة اكتشف أن الأمر لم يكن خوفًا… بل حقيقة مرعبة.,horror_long_1,https://images.unsplash.com/photo-1505635552518-3448ff116af3,الشيء الذي يعيش تحت السرير
ياسين عمر,horror,"أنا عمري ما كنت بخاف من المرايات.

كنت شايفها حاجة عادية… مجرد انعكاس.

لحد اليوم اللي اشتريت فيه المراية دي.

كانت في محل قديم… في حارة ضيقة.

المحل نفسه كان غريب.

تراب… ريحة قديمة… وسكون مش طبيعي.

المراية كانت كبيرة.

إطار خشب… محفور عليه أشكال غريبة.

صاحب المحل قالّي:
""متخليش النور يطفي وإنت باصص فيها.""

ضحكت.

اشتريتها.

وأخدتها البيت.

حطيتها في أوضتي.

في الأول… كل حاجة عادية.

لكن في اليوم التالت… لاحظت حاجة.

كنت واقف قدامها…

لكن الانعكاس… اتأخر.

ثانية.

بعدين رجع طبيعي.

قلت تهيؤات.

لكن الموضوع اتكرر.

وبقى أوضح.

في يوم… رفعت إيدي.

الانعكاس… ما رفعش.

وقف… وبصلي.

ابتسم.

وأنا… ماكنتش ببتسم.

رجعت ورا.

قلبي بيدق بسرعة.

قربت تاني.

الانعكاس قرب… أسرع مني.

وبعدين…

خبط على المراية من جوه.

أنا اتجمدت.

""إنت مين؟""

ما ردش.

بس فضل يبص.

وبعدين…

حط إيده على الإزاز.

وإيدي… اتحركت غصب عني.

ولمست نفس المكان.

الإزاز كان ساقع.

بس…

في حاجة بتضغط من الناحية التانية.

وفي اللحظة دي…

الإزاز بدأ يتموج.

زي ميه.

والإيد… خرجت.

مسكت إيدي.

وشدتني.

وقعت جوا.

الدنيا اتقلبت.

النور اختفى.

وبقيت أنا…

جوا المراية.

شايف أوضتي… من الناحية التانية.

وشايفه.

النسخة التانية مني.

واقف مكاني.

بيبتسم.

وبعدين…

خرج.

وسابني.

ومن ساعتها…

لو بصيت في أي مراية…

ممكن تلاحظ…

إن في حد بيبصلك.

بس مش أنت.",2024-03-01,مراية قديمة بتعكس واقع مختلف، ومع الوقت الشخص اللي فيها يبدأ يخرج… ويستبدلك.,horror_long_2,https://images.unsplash.com/photo-1505691938895-1758d7feb511,المراية اللي بتبصلك
ياسين عمر,horror,"أنا كنت محتاج شقة بسرعة.

الفلوس قليلة.

والخيارات أقل.

لقيت إعلان.

شقة مفروشة… بسعر غريب.

رخيص جدًا.

روحت أشوفها.

العمارة كانت قديمة.

بس الشقة… كانت نضيفة.

هدوء غريب… بس مقبول.

صاحبها قالّي:
""أهم حاجة… متفتحش الباب بعد 3 الفجر.""

ضحكت.

وافقت.

أول يوم عادي.

تاني يوم… عادي.

تالت يوم…

الساعة 3 الفجر.

صحيت على صوت خبط.

على الباب.

بطء.

""افتح…""

صوت راجل.

قريب.

جدا.

افتكرت هزار.

لكن الصوت رجع.

""إنت جوا… وأنا برا.""

جسمي اتشد.

بصيت من العين السحرية.

مفيش حد.

رجعت ورا.

والصوت اتحول لهمس.

""افتح… وأنا هخرجك.""

تجاهلت.

الصبح جه.

روحت أفتح الباب.

ما اتفتحش.

حاولت تاني.

مفيش.

الشباك؟

مقفول.

حتى الموبايل… مفيش شبكة.

عدى يوم.

اتنين.

الأكل خلص.

الصوت رجع.

""افتح…""

صرخت:
""مفيش خروج!""

رد:
""في… بس مش ليك.""

الساعة 3.

الباب… اتفتح لوحده.

ببطء.

والضلمة وراه… كانت مش طبيعية.

خطوة واحدة بس…

وأكون بره.

لكن الصوت قال:

""لو خرجت… مش هترجع.""

وقفت.

متردد.

وبعدين…

حسيت بإيد ورايا.

دفعتني.

وقعت.

وبعدها…

لقيت نفسي واقف قدام الباب.

برا.

بخبط.

""افتح…""

لكن اللي جوا…

كان أنا.",2024-03-01,شاب يستأجر شقة رخيصة، لكنه يكتشف أنه لا يستطيع الخروج منها مهما حاول.,horror_long_3,https://images.unsplash.com/photo-1520697222861-5b1cbb5d0b79,الشقة اللي مفيهاش باب خروج
ياسين عمر,horror,"الموضوع بدأ عادي جدًا.

كنت بحب التصوير.

أي مكان بروحه… لازم أصور.

في يوم… كنت في حديقة فاضية.

صورت كذا صورة.

رجعت البيت… وبصيت عليهم.

في صورة… وقفتني.

كان في طفل.

واقف بعيد.

أنا فاكر المكان كويس.

ما كانش في حد.

قلت يمكن عدى ورايا.

صورت تاني يوم.

في مكان تاني.

نفس الطفل.

نفس الوقفة.

نفس البصة.

بدأت أقلق.

جربت حاجة.

صورت أوضتي.

بالليل.

وأنا لوحدي.

بصيت على الصورة.

كان ورايا.

واقف عند الباب.

قريب.

ابتسم.

أول مرة يبتسم.

جسمي كله اتجمد.

قمت بصيت ورايا.

مفيش حد.

لكن الباب… كان مفتوح.

من ساعتها…

بقى يظهر في كل صورة.

ويقرب.

كل مرة أقرب.

لحد صورة واحدة…

ما كانش ورايا.

كان قدامي.

قريب جدًا.

والعينين…

كانوا مش طبيعية.

وفي آخر صورة…

ما ظهرش خالص.

افتكرت إنه اختفى.

لكن لما بصيت في المراية…

كان واقف ورايا.

في الحقيقة.",2024-03-01,كل صورة بيصورها يظهر فيها طفل غريب، ومع الوقت يكتشف أن الطفل مش مجرد صورة… ده مستني يظهر في الحقيقة.,horror_long_4,https://images.unsplash.com/photo-1519681393784-d120267933ba,الطفل اللي بيظهر في الصور
ياسين عمر,horror,"كنت بسجل صوتي علشان مشروع.

قعدت لوحدي في الأوضة.

سجلت كلام عادي.

ضحك… هزار… كلام عادي.

خلصت.

رجعت أسمع.

في صوت.

مش صوتي.

""أنا سامعك.""

وقفت التسجيل.

قلت يمكن لخبطة.

سجلت تاني.

نفس الحاجة.

الصوت بيرد عليا.

في الوقت الحقيقي.

""إنت لوحدك؟""

قلت بصوت عالي:
""مين؟""

في التسجيل…

الصوت رد.

""أنا هنا.""

قلبي بدأ يدق.

بصيت حواليّ.

مفيش حد.

لكن الصوت… كان بيتحرك.

مرة من اليمين.

مرة من الشمال.

وفي تسجيل واحد…

قال حاجة خلتني أتجمد.

قال اسمي الكامل.

بس مش بس كده.

قال حاجة محدش يعرفها.

سر.

أنا عمري ما قولته لحد.

وقتها…

عرفت.

ده مش صوت.

ده حد.

معايا.

في الأوضة.

قريب.

قريب جدًا.

وقتها التسجيل وقف لوحده.

والنفس اللي ورايا…

كان واضح.

""دورك تسمعني بقى.""",2024-03-01,شاب يسجل صوته لاكتشاف شيء غريب… لكنه يجد صوتًا آخر يرد عليه ويعرف كل أسراره.,horror_long_5,https://images.unsplash.com/photo-1518444065439-e933c06ce9cd,الصوت في التسجيل
ياسين عمر,horror,"العمارة كانت 10 أدوار.

كل الناس عارفة كده.

أنا ساكن في الدور السادس.

في يوم… كنت طالع المصعد.

ضغطت 6.

المصعد طلع.

5… 6…

لكن ما وقفش.

كمل.

7… 8…

9… 10…

وبعدين ظهر رقم.

13.

المصعد وقف.

الباب فتح.

الممر كان ضلمة.

لكن في نور بعيد.

وحد واقف.

قالّي:

""أخيرًا وصلت.""

قلت:
""ده مش دوري.""

رد:
""ده دورك الحقيقي.""

الباب قفل.

المصعد نزل.

رجعت لدوري.

لكن من ساعتها…

كل مرة أركب المصعد.

الزر 13…

بينور لوحده.

وفي مرة…

ما لحقتش أضغط حاجة.

طلع لوحده.

ووقف.

والباب فتح.

والمرة دي…

كان في أكتر من واحد.

كلهم…

بيبصوا عليا.

وقالوا بصوت واحد:

""متتأخرش تاني.""",2024-03-01,مصعد يأخذك إلى دور غير موجود في المبنى، وكل من يصل إليه لا يعود كما كان.,horror_long_6,https://images.unsplash.com/photo-1494526585095-c41746248156,الدور اللي مش موجود
ياسين عمر,horror,"الموضوع بدأ بسيط.

كنت ماشي في الشارع وقت المغرب.

لاحظت إن ظلي أطول من الطبيعي.

قلت عادي… الشمس.

لكن بعد شوية…

لاحظت حاجة غريبة.

ظلي… سبقني.

كان قدامي.

مش ورايا.

وقفت.

هو وقف.

مشيت.

هو سبقني تاني.

رجعت البيت.

قعدت أبص في الأرض.

الظل… بيتحرك لوحده.

مش مستني حركتي.

في يوم…

صحيت.

لقيت النور شغال.

أنا ما قومتش.

لكن ظلي… كان على الحيطة.

بيتحرك.

بيمشي في الأوضة.

وفتح الباب.

وخرج.

ومن يومها…

بقيت أشوفه بره.

عايش.

بيتحرك.

وفي مرة…

بصلي.

وابتسم.

ومن بعدها…

أنا اللي بقيت الظل.",2024-03-01,يلاحظ شاب أن ظله لم يعد يتبعه… بل يسبقه، ومع الوقت يبدأ يعيش حياة خاصة به.,horror_long_7,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee,الظل اللي سبقني
